id,dut,categories,test,description,inputs,result,messages
1,campus-a-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-spine1 (IP: 192.168.244.11),PASS,
2,campus-a-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-spine2 (IP: 192.168.244.12),PASS,
3,campus-a-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-leaf1b (IP: 10.255.254.25),FAIL,AFI: ipv4 SAFI: unicast VRF: default Peer: 10.255.254.25 - Incorrect session state - Expected: Established Actual: Active
4,campus-a-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-spine1 (IP: 172.31.254.48),PASS,
5,campus-a-leaf1a,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-spine2 (IP: 172.31.254.50),PASS,
6,campus-a-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: campus-a-spine1 Ethernet5,PASS,
7,campus-a-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: campus-a-spine2 Ethernet5,PASS,
8,campus-a-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: campus-a-leaf1b Ethernet3,FAIL,Port: Ethernet3 Neighbor: campus-a-leaf1b Neighbor Port: Ethernet3 - No LLDP neighbors
9,campus-a-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: campus-a-leaf1b Ethernet4,FAIL,Port: Ethernet4 Neighbor: campus-a-leaf1b Neighbor Port: Ethernet4 - No LLDP neighbors
10,campus-a-leaf1a,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6 - Remote: campus-a-leaf2d Ethernet1,FAIL,Port: Ethernet6 Neighbor: campus-a-leaf2d Neighbor Port: Ethernet1 - No LLDP neighbors
11,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.13) - Destination: campus-a-leaf1a Loopback0 (IP: 192.168.244.13),PASS,
12,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.13) - Destination: campus-a-leaf1b Loopback0 (IP: 192.168.244.14),FAIL,Host: 192.168.244.14 Source: 192.168.244.13 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
13,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.13) - Destination: campus-a-leaf2a Loopback0 (IP: 192.168.244.15),FAIL,Host: 192.168.244.15 Source: 192.168.244.13 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
14,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.13) - Destination: campus-a-leaf2b Loopback0 (IP: 192.168.244.16),FAIL,Host: 192.168.244.16 Source: 192.168.244.13 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
15,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.13) - Destination: campus-a-spine1 Loopback0 (IP: 192.168.244.11),PASS,
16,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.13) - Destination: campus-a-spine2 Loopback0 (IP: 192.168.244.12),PASS,
17,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 172.31.254.49) - Destination: campus-a-spine1 Ethernet5 (IP: 172.31.254.48),PASS,
18,campus-a-leaf1a,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 172.31.254.51) - Destination: campus-a-spine2 Ethernet5 (IP: 172.31.254.50),PASS,
19,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - P2P_campus-a-spine1_Ethernet5 = 'up',PASS,
20,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - P2P_campus-a-spine2_Ethernet5 = 'up',PASS,
21,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - MLAG_campus-a-leaf1b_Ethernet3 = 'up',FAIL,"Ethernet3 - Status mismatch - Expected: up/up, Actual: down/down"
22,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - MLAG_campus-a-leaf1b_Ethernet4 = 'up',FAIL,"Ethernet4 - Status mismatch - Expected: up/up, Actual: down/down"
23,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5 - SERVER_campus-a-leaf1-server1_Ethernet1 = 'up',PASS,
24,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6 - L2_campus-a-leaf2d_Ethernet1 = 'up',FAIL,"Ethernet6 - Status mismatch - Expected: up/up, Actual: down/down"
25,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
26,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
27,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback100 - DIAG_VRF_Blue = 'up',PASS,
28,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Management1 = 'up',PASS,
29,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel3 - MLAG_campus-a-leaf1b_Port-Channel3 = 'up',FAIL,"Port-Channel3 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
30,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel5 - SERVER_campus-a-leaf1-server1 = 'up',FAIL,"Port-Channel5 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
31,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel6 - L2_campus-a-leaf2d_Port-Channel1 = 'up',FAIL,"Port-Channel6 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
32,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan110 - Blue_110 = 'up',PASS,
33,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan111 - Blue_111 = 'up',PASS,
34,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan112 - Blue_112 = 'up',PASS,
35,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan113 - Blue_113 = 'up',PASS,
36,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan120 - Red_120 = 'up',PASS,
37,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan121 - WEBZone_121 = 'up',PASS,
38,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan130 - Green_130 = 'up',PASS,
39,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan131 - Green_131 = 'up',PASS,
40,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_Blue = 'up',FAIL,"Vlan3009 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
41,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3010 - MLAG_L3_VRF_Red = 'up',FAIL,"Vlan3010 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
42,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3011 - MLAG_L3_VRF_Green = 'up',FAIL,"Vlan3011 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
43,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',FAIL,"Vlan4093 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
44,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
45,campus-a-leaf1a,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
46,campus-a-leaf1a,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,FAIL,MLAG negotiation status mismatch - Expected: connected Actual: connecting;Operational state of the MLAG peer link is not correct - Expected: up Actual: lowerLayerDown
47,campus-a-leaf1a,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
48,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.243.13 - Peer: campus-a-leaf1a,PASS,
49,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.243.15 - Peer: campus-a-leaf2a,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.243.15
50,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.11 - Peer: campus-a-spine1,PASS,
51,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.12 - Peer: campus-a-spine2,PASS,
52,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.13 - Peer: campus-a-leaf1a,PASS,
53,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.14 - Peer: campus-a-leaf1b,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.14
54,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.15 - Peer: campus-a-leaf2a,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.15
55,campus-a-leaf1a,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.16 - Peer: campus-a-leaf2b,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.16
56,campus-a-leaf1a,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: unsynchronised
57,campus-a-leaf1a,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
58,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-spine1 (IP: 192.168.244.11),PASS,
59,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-spine2 (IP: 192.168.244.12),PASS,
60,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-leaf1a (IP: 10.255.254.24),FAIL,AFI: ipv4 SAFI: unicast VRF: default Peer: 10.255.254.24 - Incorrect session state - Expected: Established Actual: Active
61,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-spine1 (IP: 172.31.254.52),PASS,
62,campus-a-leaf1b,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-spine2 (IP: 172.31.254.54),PASS,
63,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: campus-a-spine1 Ethernet6,PASS,
64,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: campus-a-spine2 Ethernet6,PASS,
65,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet3 - Remote: campus-a-leaf1a Ethernet3,FAIL,Port: Ethernet3 Neighbor: campus-a-leaf1a Neighbor Port: Ethernet3 - No LLDP neighbors
66,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet4 - Remote: campus-a-leaf1a Ethernet4,FAIL,Port: Ethernet4 Neighbor: campus-a-leaf1a Neighbor Port: Ethernet4 - No LLDP neighbors
67,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5 - Remote: campus-a-leaf2c Ethernet2,FAIL,Port: Ethernet5 Neighbor: campus-a-leaf2c Neighbor Port: Ethernet2 - No LLDP neighbors
68,campus-a-leaf1b,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6 - Remote: campus-a-leaf2d Ethernet2,FAIL,Port: Ethernet6 Neighbor: campus-a-leaf2d Neighbor Port: Ethernet2 - No LLDP neighbors
69,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf1a Loopback0 (IP: 192.168.244.13),FAIL,Host: 192.168.244.13 Source: 192.168.244.14 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
70,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf1b Loopback0 (IP: 192.168.244.14),PASS,
71,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf2a Loopback0 (IP: 192.168.244.15),FAIL,Host: 192.168.244.15 Source: 192.168.244.14 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
72,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-leaf2b Loopback0 (IP: 192.168.244.16),FAIL,Host: 192.168.244.16 Source: 192.168.244.14 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
73,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-spine1 Loopback0 (IP: 192.168.244.11),PASS,
74,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.14) - Destination: campus-a-spine2 Loopback0 (IP: 192.168.244.12),PASS,
75,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet1 (IP: 172.31.254.53) - Destination: campus-a-spine1 Ethernet6 (IP: 172.31.254.52),PASS,
76,campus-a-leaf1b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet2 (IP: 172.31.254.55) - Destination: campus-a-spine2 Ethernet6 (IP: 172.31.254.54),PASS,
77,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - P2P_campus-a-spine1_Ethernet6 = 'up',PASS,
78,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - P2P_campus-a-spine2_Ethernet6 = 'up',PASS,
79,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - MLAG_campus-a-leaf1a_Ethernet3 = 'up',FAIL,"Ethernet3 - Status mismatch - Expected: up/up, Actual: down/down"
80,campus-a-leaf1b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - MLAG_campus-a-leaf1a_Ethernet4 = 'up',FAIL,"Ethernet4 - Status mismatch - Expected: up/up, Actual: down/down"
