id,dut,categories,test,description,inputs,result,messages
161,campus-a-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.16) - Destination: campus-a-leaf1a Loopback0 (IP: 192.168.244.13),FAIL,Host: 192.168.244.13 Source: 192.168.244.16 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
162,campus-a-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.16) - Destination: campus-a-leaf1b Loopback0 (IP: 192.168.244.14),FAIL,Host: 192.168.244.14 Source: 192.168.244.16 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
163,campus-a-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.16) - Destination: campus-a-leaf2a Loopback0 (IP: 192.168.244.15),FAIL,Host: 192.168.244.15 Source: 192.168.244.16 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
164,campus-a-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.16) - Destination: campus-a-leaf2b Loopback0 (IP: 192.168.244.16),PASS,
165,campus-a-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.16) - Destination: campus-a-spine1 Loopback0 (IP: 192.168.244.11),FAIL,Host: 192.168.244.11 Source: 192.168.244.16 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
166,campus-a-leaf2b,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: Loopback0 (IP: 192.168.244.16) - Destination: campus-a-spine2 Loopback0 (IP: 192.168.244.12),FAIL,Host: 192.168.244.12 Source: 192.168.244.16 VRF: default - Packet loss detected - Transmitted: 1 Received: 0
167,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet3 - MLAG_campus-a-leaf2a_Ethernet3 = 'up',PASS,
168,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet4 - MLAG_campus-a-leaf2a_Ethernet4 = 'up',PASS,
169,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
170,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback1 - VXLAN_TUNNEL_SOURCE = 'up',PASS,
171,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback100 - DIAG_VRF_Blue = 'up',PASS,
172,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Management1 = 'up',PASS,
173,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel3 - MLAG_campus-a-leaf2a_Port-Channel3 = 'up',FAIL,"Port-Channel3 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
174,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan110 - Blue_110 = 'up',PASS,
175,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan111 - Blue_111 = 'up',PASS,
176,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan112 - Blue_112 = 'up',PASS,
177,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan113 - Blue_113 = 'up',PASS,
178,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan120 - Red_120 = 'up',PASS,
179,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan121 - WEBZone_121 = 'up',PASS,
180,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan130 - Green_130 = 'up',PASS,
181,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan131 - Green_131 = 'up',PASS,
182,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3009 - MLAG_L3_VRF_Blue = 'up',FAIL,"Vlan3009 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
183,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3010 - MLAG_L3_VRF_Red = 'up',FAIL,"Vlan3010 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
184,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan3011 - MLAG_L3_VRF_Green = 'up',FAIL,"Vlan3011 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
185,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4093 - MLAG_L3 = 'up',FAIL,"Vlan4093 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
186,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vlan4094 - MLAG = 'up',PASS,
187,campus-a-leaf2b,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Vxlan1 = 'up',PASS,
188,campus-a-leaf2b,MLAG,VerifyMlagStatus,Verifies the health status of the MLAG configuration.,,FAIL,MLAG negotiation status mismatch - Expected: connected Actual: connecting;Operational state of the MLAG peer link is not correct - Expected: up Actual: lowerLayerDown
189,campus-a-leaf2b,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
190,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.243.13 - Peer: campus-a-leaf1a,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.243.13
191,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.243.15 - Peer: campus-a-leaf2a,PASS,
192,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.11 - Peer: campus-a-spine1,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.11
193,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.12 - Peer: campus-a-spine2,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.12
194,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.13 - Peer: campus-a-leaf1a,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.13
195,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.14 - Peer: campus-a-leaf1b,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.14
196,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.15 - Peer: campus-a-leaf2a,FAIL,The following route(s) are missing from the routing table of VRF default: 192.168.244.15
197,campus-a-leaf2b,Routing,VerifyRoutingTableEntry,Verifies that the provided routes are present in the routing table of a specified VRF.,Route: 192.168.244.16 - Peer: campus-a-leaf2b,PASS,
198,campus-a-leaf2b,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: unsynchronised
199,campus-a-leaf2b,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
200,campus-a-leaf2c,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: campus-a-leaf1a Ethernet5,FAIL,Port: Ethernet1 Neighbor: campus-a-leaf1a Neighbor Port: Ethernet5 - No LLDP neighbors
201,campus-a-leaf2c,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: campus-a-leaf1b Ethernet5,FAIL,Port: Ethernet2 Neighbor: campus-a-leaf1b Neighbor Port: Ethernet5 - No LLDP neighbors
202,campus-a-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - L2_campus-a-leaf1a_Ethernet5 = 'up',FAIL,"Ethernet1 - Status mismatch - Expected: up/up, Actual: down/down"
203,campus-a-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - L2_campus-a-leaf1b_Ethernet5 = 'up',FAIL,"Ethernet2 - Status mismatch - Expected: up/up, Actual: down/down"
204,campus-a-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6 - SERVER_campus-a-leaf2-server1_Ethernet1 = 'up',FAIL,"Ethernet6 - Status mismatch - Expected: up/up, Actual: down/down"
205,campus-a-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Management1 = 'up',PASS,
206,campus-a-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel1 - L2_campus-a-leaf1_Port-Channel5 = 'up',FAIL,"Port-Channel1 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
207,campus-a-leaf2c,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel6 - SERVER_campus-a-leaf2-server1 = 'up',FAIL,"Port-Channel6 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
208,campus-a-leaf2c,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: unsynchronised
209,campus-a-leaf2c,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
210,campus-a-leaf2d,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet1 - Remote: campus-a-leaf1a Ethernet6,FAIL,Port: Ethernet1 Neighbor: campus-a-leaf1a Neighbor Port: Ethernet6 - No LLDP neighbors
211,campus-a-leaf2d,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet2 - Remote: campus-a-leaf1b Ethernet6,FAIL,Port: Ethernet2 Neighbor: campus-a-leaf1b Neighbor Port: Ethernet6 - No LLDP neighbors
212,campus-a-leaf2d,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet1 - L2_campus-a-leaf1a_Ethernet6 = 'up',FAIL,"Ethernet1 - Status mismatch - Expected: up/up, Actual: down/down"
213,campus-a-leaf2d,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet2 - L2_campus-a-leaf1b_Ethernet6 = 'up',FAIL,"Ethernet2 - Status mismatch - Expected: up/up, Actual: down/down"
214,campus-a-leaf2d,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Management1 = 'up',PASS,
215,campus-a-leaf2d,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Port-Channel1 - L2_campus-a-leaf1_Port-Channel6 = 'up',FAIL,"Port-Channel1 - Status mismatch - Expected: up/up, Actual: down/lowerLayerDown"
216,campus-a-leaf2d,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: unsynchronised
217,campus-a-leaf2d,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
218,campus-a-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-leaf1a (IP: 192.168.244.13),PASS,
219,campus-a-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-leaf1b (IP: 192.168.244.14),PASS,
220,campus-a-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-leaf1a (IP: 172.31.254.49),PASS,
221,campus-a-spine1,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-leaf1b (IP: 172.31.254.53),PASS,
222,campus-a-spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5 - Remote: campus-a-leaf1a Ethernet1,PASS,
223,campus-a-spine1,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6 - Remote: campus-a-leaf1b Ethernet1,PASS,
224,campus-a-spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 172.31.254.48) - Destination: campus-a-leaf1a Ethernet1 (IP: 172.31.254.49),PASS,
225,campus-a-spine1,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6 (IP: 172.31.254.52) - Destination: campus-a-leaf1b Ethernet1 (IP: 172.31.254.53),PASS,
226,campus-a-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5 - P2P_campus-a-leaf1a_Ethernet1 = 'up',PASS,
227,campus-a-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6 - P2P_campus-a-leaf1b_Ethernet1 = 'up',PASS,
228,campus-a-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
229,campus-a-spine1,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Management1 = 'up',PASS,
230,campus-a-spine1,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
231,campus-a-spine1,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: unsynchronised
232,campus-a-spine1,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
233,campus-a-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-leaf1a (IP: 192.168.244.13),PASS,
234,campus-a-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP EVPN Peer: campus-a-leaf1b (IP: 192.168.244.14),PASS,
235,campus-a-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-leaf1a (IP: 172.31.254.51),PASS,
236,campus-a-spine2,BGP,VerifyBGPSpecificPeers,Verifies the health of specific BGP peer(s) for given address families.,BGP IPv4 Unicast Peer: campus-a-leaf1b (IP: 172.31.254.55),PASS,
237,campus-a-spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet5 - Remote: campus-a-leaf1a Ethernet2,PASS,
238,campus-a-spine2,Connectivity,VerifyLLDPNeighbors,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Local: Ethernet6 - Remote: campus-a-leaf1b Ethernet2,PASS,
239,campus-a-spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet5 (IP: 172.31.254.50) - Destination: campus-a-leaf1a Ethernet2 (IP: 172.31.254.51),PASS,
240,campus-a-spine2,Connectivity,VerifyReachability,Test network reachability to one or many destination IP(s).,Source: P2P Interface Ethernet6 (IP: 172.31.254.54) - Destination: campus-a-leaf1b Ethernet2 (IP: 172.31.254.55),PASS,
241,campus-a-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet5 - P2P_campus-a-leaf1a_Ethernet2 = 'up',PASS,
242,campus-a-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Ethernet6 - P2P_campus-a-leaf1b_Ethernet2 = 'up',PASS,
243,campus-a-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Loopback0 - ROUTER_ID = 'up',PASS,
244,campus-a-spine2,Interfaces,VerifyInterfacesStatus,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interface Management1 = 'up',PASS,
245,campus-a-spine2,Routing,VerifyRoutingProtocolModel,Verifies the configured routing protocol model.,Routing protocol model: multi-agent,PASS,
246,campus-a-spine2,System,VerifyNTP,Verifies if NTP is synchronised.,,FAIL,NTP status mismatch - Expected: synchronised Actual: unsynchronised
247,campus-a-spine2,System,VerifyReloadCause,Verifies the last reload cause of the device.,,PASS,
